country,year,production,lat,lng
Austria,2020,2521.2062,47.5162,14.5501
Belgium,2020,1811.3929,50.5039,4.4699
Bulgaria,2020,11513.6368,42.7339,25.4858
Croatia,2020,1124.8834,45.1,15.2
Cyprus,2020,0.0,35.1264,33.4299
Czechia,2020,29268.0357,49.8175,15.473
Denmark,2020,2828.6313,56.2639,9.5018
Estonia,2020,3253.724,58.5953,25.0136
Finland,2020,4899.339,61.9241,25.7482
France,2020,4663.7179,46.6034,1.8883
Germany,2020,133521.695,51.1657,10.4515
Greece,2020,6045.0055,39.0742,21.8243
Hungary,2020,3558.9425,47.1625,19.5033
Ireland,2020,1525.9818,53.4129,-8.2439
Italy,2020,14432.2088,41.8719,12.5674
Latvia,2020,0.0,56.8796,24.6032
Lithuania,2020,0.0,55.1694,23.8813
Luxembourg,2020,0.0,49.8153,6.1296
Malta,2020,0.0,35.9375,14.3754
Netherlands,2020,9644.6745,52.1326,5.2913
Poland,2020,100219.2516,51.9194,19.1451
Portugal,2020,2310.5718,39.3999,-8.2245
Romania,2020,8129.747,45.9432,24.9668
Slovakia,2020,1967.9423,48.669,19.699
Slovenia,2020,3927.0759,46.1512,14.9955
Spain,2020,5909.5393,40.4637,-3.7492
Sweden,2020,549.2539,60.1282,18.6435
EU27,2020,353626.4571,,
Austria,2021,2076.0408,47.5162,14.5501
Belgium,2021,1953.8461,50.5039,4.4699
Bulgaria,2021,14699.429,42.7339,25.4858
Croatia,2021,1350.0936,45.1,15.2
Cyprus,2021,0.0,35.1264,33.4299
Czechia,2021,31321.2546,49.8175,15.473
Denmark,2021,4048.8432,56.2639,9.5018
Estonia,2021,3360.5104,58.5953,25.0136
Finland,2021,5396.2638,61.9241,25.7482
France,2021,6923.7101,46.6034,1.8883
Germany,2021,162881.7697,51.1657,10.4515
Greece,2021,5051.886,39.0742,21.8243
Hungary,2021,2896.3332,47.1625,19.5033
Ireland,2021,2920.2537,53.4129,-8.2439
Italy,2021,14918.878,41.8719,12.5674
Latvia,2021,0.0,56.8796,24.6032
Lithuania,2021,0.0,55.1694,23.8813
Luxembourg,2021,0.0,49.8153,6.1296
Malta,2021,0.0,35.9375,14.3754
Netherlands,2021,16663.6165,52.1326,5.2913
Poland,2021,119496.6999,51.9194,19.1451
Portugal,2021,784.9466,39.3999,-8.2245
Romania,2021,9054.76,45.9432,24.9668
Slovakia,2021,1988.3772,48.669,19.699
Slovenia,2021,3459.4768,46.1512,14.9955
Spain,2021,5782.8111,40.4637,-3.7492
Sweden,2021,718.9155,60.1282,18.6435
EU27,2021,417748.7158,,
Austria,2022,1904.7404,47.5162,14.5501
Belgium,2022,2528.3834,50.5039,4.4699
Bulgaria,2022,18760.8581,42.7339,25.4858
Croatia,2022,1447.8031,45.1,15.2
Cyprus,2022,0.0,35.1264,33.4299
Czechia,2022,33759.4859,49.8175,15.473
Denmark,2022,3391.3317,56.2639,9.5018
Estonia,2022,3562.3336,58.5953,25.0136
Finland,2022,5151.695,61.9241,25.7482
France,2022,5452.8345,46.6034,1.8883
Germany,2022,178383.8664,51.1657,10.4515
Greece,2022,5283.2225,39.0742,21.8243
Hungary,2022,2857.9629,47.1625,19.5033
Ireland,2022,2108.5014,53.4129,-8.2439
Italy,2022,16440.4722,41.8719,12.5674
Latvia,2022,0.0,56.8796,24.6032
Lithuania,2022,0.0,55.1694,23.8813
Luxembourg,2022,0.0,49.8153,6.1296
Malta,2022,0.0,35.9375,14.3754
Netherlands,2022,16610.4218,52.1326,5.2913
Poland,2022,116672.132,51.9194,19.1451
Portugal,2022,0.0,39.3999,-8.2245
Romania,2022,8476.1869,45.9432,24.9668
Slovakia,2022,1953.9331,48.669,19.699
Slovenia,2022,2810.0442,46.1512,14.9955
Spain,2022,9005.3035,40.4637,-3.7492
Sweden,2022,682.8618,60.1282,18.6435
EU27,2022,437244.3744,,
Austria,2023,1786.9079,47.5162,14.5501
Belgium,2023,1766.3364,50.5039,4.4699
Bulgaria,2023,9880.0068,42.7339,25.4858
Croatia,2023,1229.1426,45.1,15.2
Cyprus,2023,0.0,35.1264,33.4299
Czechia,2023,27163.947,49.8175,15.473
Denmark,2023,2331.8409,56.2639,9.5018
Estonia,2023,2261.0557,58.5953,25.0136
Finland,2023,3187.7346,61.9241,25.7482
France,2023,2897.3047,46.6034,1.8883
Germany,2023,125661.7736,51.1657,10.4515
