country,year,production,lat,lng
EU27,2019,982490.7873,,
Austria,2020,55437.9851,47.5162,14.5501
Belgium,2020,24035.0543,50.5039,4.4699
Bulgaria,2020,7690.7637,42.7339,25.4858
Croatia,2020,8537.4412,45.1,15.2
Cyprus,2020,593.859,35.1264,33.4299
Czechia,2020,11029.6882,49.8175,15.473
Denmark,2020,22820.6563,56.2639,9.5018
Estonia,2020,1767.3202,58.5953,25.0136
Finland,2020,34769.6046,61.9241,25.7482
France,2020,127848.1025,46.6034,1.8883
Germany,2020,249594.7128,51.1657,10.4515
Greece,2020,17947.7028,39.0742,21.8243
Hungary,2020,5327.5793,47.1625,19.5033
Ireland,2020,13725.0983,53.4129,-8.2439
Italy,2020,116594.5543,41.8719,12.5674
Latvia,2020,3551.6035,56.8796,24.6032
Lithuania,2020,3076.4841,55.1694,23.8813
Luxembourg,2020,1961.9727,49.8153,6.1296
Malta,2020,237.0739,35.9375,14.3754
Netherlands,2020,32767.0334,52.1326,5.2913
Poland,2020,29552.1444,51.9194,19.1451
Portugal,2020,31325.8394,39.3999,-8.2245
Romania,2020,24611.711,45.9432,24.9668
Slovakia,2020,6299.4691,48.669,19.699
Slovenia,2020,5780.1978,46.1512,14.9955
Spain,2020,114462.9677,40.4637,-3.7492
Sweden,2020,110394.4494,60.1282,18.6435
EU27,2020,1061741.069,,
Austria,2021,54409.9577,47.5162,14.5501
Belgium,2021,23237.0543,50.5039,4.4699
Bulgaria,2021,10143.9703,42.7339,25.4858
Croatia,2021,10482.5729,45.1,15.2
Cyprus,2021,771.5093,35.1264,33.4299
Czechia,2021,11321.9117,49.8175,15.473
Denmark,2021,25463.7214,56.2639,9.5018
Estonia,2021,2978.0154,58.5953,25.0136
Finland,2021,37048.7681,61.9241,25.7482
France,2021,125364.8158,46.6034,1.8883
Germany,2021,229518.2418,51.1657,10.4515
Greece,2021,22161.6116,39.0742,21.8243
Hungary,2021,6705.069,47.1625,19.5033
Ireland,2021,11849.0302,53.4129,-8.2439
Italy,2021,116313.9065,41.8719,12.5674
Latvia,2021,3615.8839,56.8796,24.6032
Lithuania,2021,3205.3492,55.1694,23.8813
Luxembourg,2021,1943.9587,49.8153,6.1296
Malta,2021,255.946,35.9375,14.3754
Netherlands,2021,40037.0405,52.1326,5.2913
Poland,2021,30030.4987,51.9194,19.1451
Portugal,2021,32756.9968,39.3999,-8.2245
Romania,2021,26302.9863,45.9432,24.9668
Slovakia,2021,6410.8418,48.669,19.699
Slovenia,2021,5640.0917,46.1512,14.9955
Spain,2021,125934.6667,40.4637,-3.7492
Sweden,2021,114682.9639,60.1282,18.6435
EU27,2021,1078587.38,,
Austria,2022,51259.3563,47.5162,14.5501
Belgium,2022,24733.4789,50.5039,4.4699
Bulgaria,2022,9153.3697,42.7339,25.4858
Croatia,2022,9033.7106,45.1,15.2
Cyprus,2022,880.6066,35.1264,33.4299
Czechia,2022,11012.9348,49.8175,15.473
Denmark,2022,27909.6055,56.2639,9.5018
Estonia,2022,2557.7376,58.5953,25.0136
Finland,2022,38975.054,61.9241,25.7482
France,2022,118082.8336,46.6034,1.8883
Germany,2022,249975.216,51.1657,10.4515
Greece,2022,23116.006,39.0742,21.8243
Hungary,2022,7300.053,47.1625,19.5033
Ireland,2022,13856.1145,53.4129,-8.2439
Italy,2022,102165.187,41.8719,12.5674
Latvia,2022,3656.4349,56.8796,24.6032
Lithuania,2022,2932.2934,55.1694,23.8813
Luxembourg,2022,2002.1576,49.8153,6.1296
Malta,2022,255.946,35.9375,14.3754
Netherlands,2022,48185.5571,52.1326,5.2913
Poland,2022,36569.8824,51.9194,19.1451
Portugal,2022,29360.121,39.3999,-8.2245
Romania,2022,23597.6368,45.9432,24.9668
Slovakia,2022,6023.4179,48.669,19.699
Slovenia,2022,4129.2468,46.1512,14.9955
Spain,2022,122253.9663,40.4637,-3.7492
Sweden,2022,120076.9084,60.1282,18.6435
EU27,2022,1089054.833,,
Austria,2023,62556.5187,47.5162,14.5501
Belgium,2023,28256.6119,50.5039,4.4699
Bulgaria,2023,9741.6883,42.7339,25.4858
Croatia,2023,12155.1441,45.1,15.2
Cyprus,2023,1088.4698,35.1264,33.4299
Czechia,2023,11599.3385,49.8175,15.473
Denmark,2023,28714.627,56.2639,9.5018
Estonia,2023,2535.8991,58.5953,25.0136
Finland,2023,40910.1515,61.9241,25.7482
France,2023,140388.4835,46.6034,1.8883
Germany,2023,268296.6236,51.1657,10.4515
Greece,2023,24491.5731,39.0742,21.8243
Hungary,2023,9150.2484,47.1625,19.5033
Ireland,2023,14342.4066,53.4129,-8.2439
Italy,2023,115734.329,41.8719,12.5674
Latvia,2023,4870.6513,56.8796,24.6032
Lithuania,2023,4834.81,55.1694,23.8813
Luxembourg,2023,2367.6016,49.8153,6.1296
Malta,2023,318.3442,35.9375,14.3754
Netherlands,2023,55851.1255,52.1326,5.2913
Poland,2023,45774.2266,51.9194,19.1451
Portugal,2023,36829.9656,39.3999,-8.2245
Romania,2023,28442.0916,45.9432,24.9668
Slovakia,2023,6307.6362,48.669,19.699
Slovenia,2023,6515.8155,46.1512,14.9955
Spain,2023,146652.2448,40.4637,-3.7492
Sweden,2023,114247.3665,60.1282,18.6435
EU27,2023,1222973.993,,
Austria,2024,26014.6305,47.5162,14.5501
Belgium,2024,7195.3495,50.5039,4.4699
Bulgaria,2024,7658.1064,42.7339,25.4858
Croatia,2024,11951.8185,45.1,15.2
Cyprus,2024,8391.4589,35.1264,33.4299
Czechia,2024,22457.1036,49.8175,15.473
Denmark,2024,18104.8313,56.2639,9.5018
Estonia,2024,11960.1208,58.5953,25.0136
Finland,2024,52384.7129,61.9241,25.7482
France,2024,98149.4073,46.6034,1.8883
Germany,2024,122690.2417,51.1657,10.4515
Greece,2024,20968.7944,39.0742,21.8243
Hungary,2024,21240.028,47.1625,19.5033
Ireland,2024,25867.898,53.4129,-8.2439
Italy,2024,45498.0542,41.8719,12.5674
Latvia,2024,19451.3817,56.8796,24.6032
Lithuania,2024,38787.9736,55.1694,23.8813
Luxembourg,2024,3532.0174,49.8153,6.1296
Malta,2024,22560.5003,35.9375,14.3754
Netherlands,2024,32201.8415,52.1326,5.2913
Poland,2024,34637.4274,51.9194,19.1451
Portugal,2024,37837.6577,39.3999,-8.2245
Romania,2024,25768.6327,45.9432,24.9668
Slovakia,2024,10322.5181,48.669,19.699
Slovenia,2024,22090.3897,46.1512,14.9955
Spain,2024,55057.2158,40.4637,-3.7492
Sweden,2024,38440.3611,60.1282,18.6435
EU27,2024,841220.473,,
