country,year,production,lat,lng
Austria,2020,9523.6938,47.5162,14.5501
Belgium,2020,25835.4358,50.5039,4.4699
Bulgaria,2020,1950.311,42.7339,25.4858
Croatia,2020,3181.03,45.1,15.2
Cyprus,2020,0.0,35.1264,33.4299
Czechia,2020,6132.2137,49.8175,15.473
Denmark,2020,1093.9549,56.2639,9.5018
Estonia,2020,23.1795,58.5953,25.0136
Finland,2020,3774.761,61.9241,25.7482
France,2020,33317.472,46.6034,1.8883
Germany,2020,88685.3161,51.1657,10.4515
Greece,2020,14562.28,39.0742,21.8243
Hungary,2020,8456.4414,47.1625,19.5033
Ireland,2020,15603.4339,53.4129,-8.2439
Italy,2020,128255.1249,41.8719,12.5674
Latvia,2020,1890.0693,56.8796,24.6032
Lithuania,2020,1568.168,55.1694,23.8813
Luxembourg,2020,178.4287,49.8153,6.1296
Malta,2020,1780.4715,35.9375,14.3754
Netherlands,2020,69465.7617,52.1326,5.2913
Poland,2020,15841.123,51.9194,19.1451
Portugal,2020,17208.0245,39.3999,-8.2245
Romania,2020,8110.7699,45.9432,24.9668
Slovakia,2020,3183.5147,48.669,19.699
Slovenia,2020,522.2703,46.1512,14.9955
Spain,2020,67023.1516,40.4637,-3.7492
Sweden,2020,54.7268,60.1282,18.6435
EU27,2020,527221.128,,
Austria,2021,10217.4879,47.5162,14.5501
Belgium,2021,21692.3067,50.5039,4.4699
Bulgaria,2021,2620.2696,42.7339,25.4858
Croatia,2021,2868.5669,45.1,15.2
Cyprus,2021,0.0,35.1264,33.4299
Czechia,2021,6561.1345,49.8175,15.473
Denmark,2021,1424.6393,56.2639,9.5018
Estonia,2021,29.71,58.5953,25.0136
Finland,2021,3369.5127,61.9241,25.7482
France,2021,31466.9846,46.6034,1.8883
Germany,2021,88535.7715,51.1657,10.4515
Greece,2021,21363.494,39.0742,21.8243
Hungary,2021,9004.2853,47.1625,19.5033
Ireland,2021,14547.134,53.4129,-8.2439
Italy,2021,132580.0202,41.8719,12.5674
Latvia,2021,1928.0897,56.8796,24.6032
Lithuania,2021,1117.0762,55.1694,23.8813
Luxembourg,2021,167.8389,49.8153,6.1296
Malta,2021,1853.8071,35.9375,14.3754
Netherlands,2021,54371.2544,52.1326,5.2913
Poland,2021,14566.5014,51.9194,19.1451
Portugal,2021,15280.7989,39.3999,-8.2245
Romania,2021,8270.747,45.9432,24.9668
Slovakia,2021,3915.7669,48.669,19.699
Slovenia,2021,468.6316,46.1512,14.9955
Spain,2021,68753.3351,40.4637,-3.7492
Sweden,2021,272.1265,60.1282,18.6435
EU27,2021,517247.2909,,
Austria,2022,10484.41,47.5162,14.5501
Belgium,2022,21395.4871,50.5039,4.4699
Bulgaria,2022,1737.9886,42.7339,25.4858
Croatia,2022,3218.8205,45.1,15.2
Cyprus,2022,0.0,35.1264,33.4299
Czechia,2022,3870.0119,49.8175,15.473
Denmark,2022,1056.0399,56.2639,9.5018
Estonia,2022,35.444,58.5953,25.0136
Finland,2022,1070.09,61.9241,25.7482
France,2022,40804.8706,46.6034,1.8883
Germany,2022,79786.7944,51.1657,10.4515
Greece,2022,18536.4576,39.0742,21.8243
Hungary,2022,8229.3831,47.1625,19.5033
Ireland,2022,15592.5034,53.4129,-8.2439
Italy,2022,148556.2834,41.8719,12.5674
Latvia,2022,1114.3791,56.8796,24.6032
Lithuania,2022,585.1249,55.1694,23.8813
Luxembourg,2022,103.8114,49.8153,6.1296
Malta,2022,1887.3021,35.9375,14.3754
Netherlands,2022,46081.7378,52.1326,5.2913
Poland,2022,10777.3045,51.9194,19.1451
Portugal,2022,17956.5234,39.3999,-8.2245
Romania,2022,8300.187,45.9432,24.9668
Slovakia,2022,1840.8235,48.669,19.699
Slovenia,2022,473.209,46.1512,14.9955
Spain,2022,85832.2107,40.4637,-3.7492
Sweden,2022,134.168,60.1282,18.6435
EU27,2022,529461.3659,,
Austria,2023,6945.0455,47.5162,14.5501
Belgium,2023,17629.8185,50.5039,4.4699
Bulgaria,2023,1697.7413,42.7339,25.4858
Croatia,2023,3584.1025,45.1,15.2
Cyprus,2023,0.0,35.1264,33.4299
Czechia,2023,3275.5642,49.8175,15.473
Denmark,2023,923.6508,56.2639,9.5018
Estonia,2023,17.2969,58.5953,25.0136
Finland,2023,622.8254,61.9241,25.7482
France,2023,28150.2863,46.6034,1.8883
Germany,2023,75340.793,51.1657,10.4515
Greece,2023,15722.3169,39.0742,21.8243
Hungary,2023,6758.8983,47.1625,19.5033
Ireland,2023,14793.0327,53.4129,-8.2439
Italy,2023,114320.5568,41.8719,12.5674
Latvia,2023,1262.4114,56.8796,24.6032
Lithuania,2023,506.202,55.1694,23.8813
Luxembourg,2023,82.5156,49.8153,6.1296
Malta,2023,1961.2395,35.9375,14.3754
Netherlands,2023,43962.1383,52.1326,5.2913
Poland,2023,15166.7182,51.9194,19.1451
Portugal,2023,10216.3648,39.3999,-8.2245
Romania,2023,7420.3979,45.9432,24.9668
Slovakia,2023,1964.3427,48.669,19.699
Slovenia,2023,446.6757,46.1512,14.9955
Spain,2023,61856.0646,40.4637,-3.7492
Sweden,2023,148.6084,60.1282,18.6435
EU27,2023,434775.6082,,
Austria,2024,31101.2642,47.5162,14.5501
Belgium,2024,40921.7986,50.5039,4.4699
Bulgaria,2024,35065.6289,42.7339,25.4858
Croatia,2024,11507.6596,45.1,15.2
Cyprus,2024,0.0,35.1264,33.4299
Czechia,2024,11206.0565,49.8175,15.473
Denmark,2024,12925.3536,56.2639,9.5018
Estonia,2024,15897.2435,58.5953,25.0136
Finland,2024,43741.9944,61.9241,25.7482
France,2024,16802.6034,46.6034,1.8883
Germany,2024,45245.0889,51.1657,10.4515
Greece,2024,8246.7063,39.0742,21.8243
Hungary,2024,14494.0545,47.1625,19.5033
Ireland,2024,20747.6563,53.4129,-8.2439
Italy,2024,32941.9466,41.8719,12.5674
Latvia,2024,41758.7586,56.8796,24.6032
Lithuania,2024,24669.2742,55.1694,23.8813
Luxembourg,2024,28460.2435,49.8153,6.1296
Malta,2024,27292.6564,35.9375,14.3754
Netherlands,2024,21575.4934,52.1326,5.2913
Poland,2024,21583.4546,51.9194,19.1451
Portugal,2024,17974.101,39.3999,-8.2245
Romania,2024,23264.6455,45.9432,24.9668
Slovakia,2024,30853.4484,48.669,19.699
Slovenia,2024,22257.673,46.1512,14.9955
Spain,2024,36191.157,40.4637,-3.7492
Sweden,2024,24476.0719,60.1282,18.6435
EU27,2024,661202.0328,,
